length,height,speed,distance,object
15,22,0.3753628065151244,57,True
15,22,0.3576599290840619,2,True
23,37,0.3576599290840619,154,True
23,37,0.44427735133570134,139,True
23,37,0.40078839575224395,124,True
23,37,0.41111760208582465,109,True
23,37,0.2921149988856697,99,True
23,37,0.43092164383561643,84,True
23,37,0.4296268779022125,69,True
23,37,0.2738708055553742,59,True
23,37,0.39636552950576026,4,True
19,22,0.39636552950576026,278,True
19,22,0.3064040675588803,268,True
19,22,0.44299476837932417,253,True
19,22,0.2953111314511019,243,True
19,22,0.42632261561917667,228,True
19,22,0.4103774729467937,213,True
19,22,0.27383504495034894,203,True
19,22,0.450190410086511,188,True
19,22,0.4454885077818532,173,True
19,22,0.27859873796081036,163,True
19,22,0.4264121889063601,148,True
19,22,0.4419274535697227,133,True
19,22,0.30719400011718523,123,True
19,22,0.42156916087617846,108,True
19,22,0.28389765804792205,98,True
19,22,0.36616317786348707,48,True
49,22,0.36616317786348707,237,True
49,22,0.44376342796684887,222,True
49,22,0.2603023607973587,212,True
49,22,0.44742424350176013,197,True
49,22,0.43602855360731857,182,True
49,22,0.31524742949912815,172,True
49,22,0.42930147184256673,157,True
49,22,0.31065006628794894,147,True
49,22,0.45426987060998153,132,True
49,22,0.29600722673893404,122,True
49,22,0.3976045603346942,107,True
49,22,0.2785506322388694,97,True
49,22,0.37227890733804453,42,True
32,22,0.2915191047940088,2,True
44,37,0.2915191047940088,478,True
48,37,0.5087473580471533,462,True
48,37,0.2627944161800456,452,True
48,37,0.44188361098307766,436,True
48,37,0.5002748091603053,419,True
48,37,0.3035018126297966,409,True
48,37,0.46259005183632956,393,True
48,37,0.45648872533347845,377,True
48,37,0.39462570785089707,361,True
48,37,0.32076576632947473,350,True
48,37,0.4935854429914241,334,True
48,37,0.29819376213057297,324,True
48,37,0.43299114130680244,308,True
48,37,0.3151931574416921,297,True
48,37,0.45133711303458895,281,True
48,37,0.46263788717538623,265,True
48,37,0.317892610328315,254,True
48,37,0.46025817690508686,238,True
51,37,0.39919411000904165,224,True
48,37,0.35675184506673646,211,True
48,37,0.4930740982932044,195,True
48,37,0.3157339114593919,185,True
48,37,0.4987244744019441,169,True
48,37,0.317374349943593,158,True
48,37,0.4900030958848097,142,True
48,37,0.3023597344271513,132,True
48,37,0.4356919617488008,115,True
48,37,0.4559800509597418,99,True
48,37,0.3000818475803451,89,True
48,37,0.4154331541201997,25,True
48,37,0.34101040681173134,14,True
11,22,0.34101040681173134,511,True
15,22,0.28938009258939845,501,True
15,22,0.5145477714820239,485,True
15,22,0.33929507280482424,474,True
15,22,0.4824262186662066,458,True
15,22,0.30186694582570006,447,True
15,22,0.43855983165709284,431,True
15,22,0.4868570599458797,415,True
15,22,0.3082868315056008,405,True
15,22,0.49499438687073577,389,True
15,22,0.35063834444182673,378,True
15,22,0.3830349023703932,362,True
15,22,0.40546222630383294,346,True
15,22,0.31745514845013245,335,True
15,22,0.45118842528472886,319,True
15,22,0.46285167252913995,303,True
15,22,0.2800777269540249,293,True
15,22,0.3990584653441796,277,True
15,22,0.5070790062261984,261,True
15,22,0.3515038740790967,250,True
15,22,0.498073016320684,234,True
